threshold,tp,fp,tn,fn,recall_sensitivity,specificity,precision,f1,balanced_accuracy,youden_j,accuracy,predicted_positive_rate
0.74,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.75,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.76,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.77,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.78,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.79,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.8,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.81,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.82,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.83,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.84,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.85,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.86,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.87,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.88,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.89,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.9,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.91,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.92,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.93,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.94,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.95,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
