model,threshold,net_benefit,treat_all_nb,advantage
Logistic Regression,0.4463,0.2713389678276511,0.022961766879224965,0.24837720094842614
Logistic Regression,0.4513,0.26919890543017094,0.014134009489619181,0.25506489594055176
Logistic Regression,0.4562,0.26701981855998136,0.00514527615008703,0.26187454240989433
Logistic Regression,0.4612,0.264800629966354,-0.004008876798625549,0.26880950676497956
Logistic Regression,0.4661,0.26254022238106167,-0.013333058087956429,0.2758732804690181
Logistic Regression,0.4711,0.2602374366427562,-0.02283204925846638,0.2830694859012226
Logistic Regression,0.4761,0.25789106971485665,-0.032510812836052394,0.29040188255090904
Logistic Regression,0.481,0.25549987258982415,-0.042374500976811336,0.2978743735666355
Logistic Regression,0.486,0.2530625480721558,-0.05242846461219347,0.30549101268434925
Logistic Regression,0.4909,0.2505777484318257,-0.06267826312855512,0.3132560115603808
Logistic Regression,0.4959,0.248044072919257,-0.07312967461790082,0.3211737475371578
Logistic Regression,0.5008,0.24546006513219623,-0.08378870673952649,0.32924877187172275
Logistic Regression,0.5058,0.2428242102240892,-0.09466160823546804,0.3374858184595573
Logistic Regression,0.5108,0.2401349319427158,-0.10575488114613335,0.34588981308884914
Logistic Regression,0.5157,0.2373905894869191,-0.11707529377629472,0.3544658832632138
Logistic Regression,0.5207,0.23458947416825693,-0.12862989446577616,0.3632193686340331
Logistic Regression,0.5256,0.23172980586330566,-0.1404260262237002,0.37215583208700587
Logistic Regression,0.5306,0.24733966062697724,-0.15247134229015175,0.399811002917129
Logistic Regression,0.5355,0.24473004357149847,-0.1647738226945516,0.40950386626605007
Logistic Regression,0.5405,0.24206411071270098,-0.17734179188602545,0.41940590259872645
Logistic Regression,0.5455,0.25901275651691624,-0.19018393751761647,0.4491966940345327
Logistic Regression,0.5504,0.2566263214340432,-0.20330933047341831,0.4599356519074615
Logistic Regression,0.5554,0.23779322139977882,-0.21672744623564294,0.45452066763542176
Logistic Regression,0.5603,0.23529854113400514,-0.2304481876973981,0.4657467288314032
Logistic Regression,0.5653,0.2327469553450609,-0.2444819095365915,0.4772288648816524
Logistic Regression,0.5703,0.23013649448316098,-0.25883944427704103,0.488975938760202
Logistic Regression,0.5752,0.22746509704723455,-0.27353213017463623,0.5009972272218708
Logistic Regression,0.5802,0.24738479308036596,-0.28857184107942085,0.5359566341597868
Logistic Regression,0.5851,0.2450515843895377,-0.30397101843888746,0.5490226028284252
Logistic Regression,0.5901,0.24266193481606946,-0.31974270562377777,0.5624046404398473
Logistic Regression,0.595,0.24021377130824373,-0.3359005847754278,0.5761143560836715
Logistic Regression,0.6,0.23770491803278693,-0.3524590163934425,0.5901639344262295
SVM,0.01,0.453551912568306,0.453551912568306,0.0
SVM,0.015,0.4508014913809259,0.4508014913809259,0.0
SVM,0.0199,0.44802324290210177,0.44802324290210177,0.0
SVM,0.0249,0.4452167426721142,0.4452167426721142,0.0
SVM,0.0298,0.4423815575545442,0.4423815575545442,0.0
SVM,0.0348,0.4395172455134262,0.4395172455134262,0.0
SVM,0.0397,0.4366233553834964,0.4366233553834964,0.0
SVM,0.0447,0.4336994266332876,0.4336994266332876,0.0
SVM,0.0497,0.4307449891208076,0.4307449891208076,0.0
SVM,0.0546,0.42870673952641164,0.42775956284153005,0.0009471766848815899
SVM,0.0596,0.41042641115299033,0.4247426576684133,-0.014316246515422959
SVM,0.0645,0.4086932959478803,0.4216937730836519,-0.013000477135771626
SVM,0.0695,0.4095651362863145,0.41861239790185256,-0.009047261615538038
SVM,0.0745,0.4096544785027699,0.4154980099843121,-0.005843531481542152
SVM,0.0794,0.40868381082071964,0.41235007594406325,-0.003666265123343615
SVM,0.0844,0.40636961074600997,0.4091680508413375,-0.002798440095327537
SVM,0.0893,0.4040302122207313,0.40595137786907937,-0.0019211656483480444
SVM,0.0943,0.4016652014273155,0.4026994880281326,-0.0010342866008171137
SVM,0.0992,0.3992741554371814,0.3994117997916982,-0.00013764435451679713
SVM,0.1042,0.39685664195860115,0.3960877187586504,0.0007689231999507551
SVM,0.1092,0.39441221907614654,0.3927266372952753,0.001685581780871248
SVM,0.1141,0.3919404349813859,0.38932793416497946,0.00261250081640646
SVM,0.1191,0.3894408276944874,0.385890974145494,0.003549853548993398
SVM,0.124,0.3915554269466427,0.3824151076330788,0.009140319313563905
SVM,0.129,0.3916395815045906,0.37889967023320914,0.012739911271381466
SVM,0.1339,0.38937687102531393,0.3753439823372029,0.014032888688111034
SVM,0.1389,0.38708810415523454,0.37174734868422105,0.01534075547101349
SVM,0.1439,0.38477282820676206,0.36810905790804993,0.016663770298712133
SVM,0.1488,0.3824305799449398,0.36442838206804357,0.01800219787689622
SVM,0.1538,0.3800608852784606,0.36070457616357626,0.01935630911488434
SVM,0.1587,0.37766325893975644,0.35693687763132687,0.020726381308429576
SVM,0.1637,0.3784460492330399,0.3531245058246798,0.025321543408360125
SVM,0.1687,0.38608521010882013,0.3492666614744985,0.03681854863432166
SVM,0.1736,0.3875180454562125,0.3453625261304874,0.04215551932572509
SVM,0.1786,0.3856022808267997,0.3414112615823236,0.044191019244476104
SVM,0.1835,0.3836632493976473,0.33741200925969667,0.04625124013795062
SVM,0.1885,0.3817005247191793,0.33336388961035657,0.048336635108822745
SVM,0.1934,0.3797136698560834,0.3292660014552212,0.05044766840086218
SVM,0.1984,0.37770223706303196,0.3251174213195527,0.052584815743479285
SVM,0.2034,0.37566576744829494,0.32091720273915747,0.05474856470913747
SVM,0.2083,0.3779174881368968,0.3166643755405173,0.0612531125963795
